repeat,shot,classifier,feature_set,training,accuracy,macro_f1,selected_parameters
1,3,knn,joint_angle,fixed,0.7130434782608696,0.7023275335775336,
1,3,knn,joint_angle,nested_tuned,0.7652173913043478,0.7732535438417791,"{""model__n_neighbors"": 1, ""model__weights"": ""uniform""}"
1,3,mlp,joint_angle,fixed,0.6869565217391305,0.6822796131619661,
1,3,mlp,joint_angle,nested_tuned,0.6521739130434783,0.6486709589319647,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [64, 32]}"
1,3,svm,corrected,fixed,0.7565217391304347,0.7676359460757135,
1,3,svm,corrected,nested_tuned,0.7739130434782608,0.7795706850935055,"{""model__C"": 0.1, ""model__gamma"": ""scale""}"
1,3,knn,corrected,fixed,0.7130434782608696,0.7169152880836495,
1,3,knn,corrected,nested_tuned,0.6869565217391305,0.6836105380617957,"{""model__n_neighbors"": 5, ""model__weights"": ""distance""}"
1,3,mlp,corrected,fixed,0.7478260869565218,0.7593826679192532,
1,3,mlp,corrected,nested_tuned,0.7913043478260869,0.794079988073041,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [64, 32]}"
1,3,svm,optimized_action,fixed,0.6869565217391305,0.6994564784101386,
1,3,svm,optimized_action,nested_tuned,0.6869565217391305,0.6994564784101386,"{""model__C"": 5.0, ""model__gamma"": ""scale""}"
1,3,knn,optimized_action,fixed,0.6434782608695652,0.6403947791142913,
1,3,knn,optimized_action,nested_tuned,0.7565217391304347,0.7667940806238679,"{""model__n_neighbors"": 1, ""model__weights"": ""uniform""}"
1,3,mlp,optimized_action,fixed,0.7478260869565218,0.759907750491982,
1,3,mlp,optimized_action,nested_tuned,0.782608695652174,0.7798907206801945,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [64]}"
1,3,svm,optimized_full,fixed,0.4,0.40717506102909057,
1,3,svm,optimized_full,nested_tuned,0.4,0.40717506102909057,"{""model__C"": 5.0, ""model__gamma"": ""scale""}"
1,3,knn,optimized_full,fixed,0.3826086956521739,0.3723712377047281,
1,3,knn,optimized_full,nested_tuned,0.34782608695652173,0.3452219453672942,"{""model__n_neighbors"": 1, ""model__weights"": ""uniform""}"
1,3,mlp,optimized_full,fixed,0.45217391304347826,0.44086003102011434,
1,3,mlp,optimized_full,nested_tuned,0.4260869565217391,0.4166028292085364,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [64, 32]}"
